Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Search_Volume_Category,Product_Category,Competition_Category,normalized_searches,normalized_competition,Opportunity_Score,Opportunity_Category
coach card case mens,INR,500,0.0,0.0,High,100.0,36.8,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
small black coach wallet,INR,500,0.0,0.0,High,100.0,17.12,113.82,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach brown crossbody bag,INR,500,0.0,0.0,High,100.0,20.54,69.32,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach wallet purse crossbody,INR,50,0.0,0.0,High,100.0,95.85,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach bag with thick strap,INR,500,-0.9,-0.9,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach us outlet,INR,50,0.0,0.0,High,100.0,97.62,256.74,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach small sling bag,INR,50,0.0,0.0,High,89.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.89,-35.5994,Low Opportunity
coach outlet black tote,INR,50,0.0,0.0,High,100.0,99.27,256.74,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach blue tote bag,INR,500,0.0,-0.9,High,100.0,19.68,125.8,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach purse website,INR,500,0.0,0.0,High,74.0,149.77,149.77,Least Frequently Visited,handbags_purses,High,0.0001,0.74,-29.593999999999998,Low Opportunity
coach red crossbody,INR,500,0.0,0.0,High,100.0,23.96,83.4,Least Frequently Visited,crossbody_bags,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet near me now,INR,500,9.0,9.0,High,100.0,52.82,256.74,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach red tote bag,INR,500,0.0,0.0,High,100.0,63.33,166.88,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet flats,INR,500,0.0,0.0,High,100.0,83.01,251.28,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach purse deals,INR,500,9.0,0.0,High,100.0,28.24,256.74,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach cream handbag,INR,5000,0.0,0.0,High,100.0,30.81,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet pocketbooks,INR,50,0.0,-0.9,High,74.0,20.54,213.95,Least Frequently Visited,handbags_purses,High,1e-05,0.74,-29.5994,Low Opportunity
round coach bag,INR,500,0.0,9.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet cross body bag,INR,500,-0.9,-0.9,High,100.0,77.02,256.74,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach wallet men price,INR,500,0.0,0.0,High,86.0,23.11,149.77,Least Frequently Visited,wallets,High,0.0001,0.86,-34.394000000000005,Low Opportunity
coach 60 off,INR,50,0.0,0.0,High,97.0,128.37,181.43,Least Frequently Visited,general_coach,High,1e-05,0.97,-38.7994,Low Opportunity
coach outlet login,INR,500,0.0,0.0,High,99.0,150.62,256.74,Least Frequently Visited,general_coach,High,0.0001,0.99,-39.594,Low Opportunity
coach backpack women's sale,INR,50,-0.9,0.0,High,100.0,22.25,149.77,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
latest coach bags,INR,50000,0.0,9.0,High,100.0,120.67,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach mini sling bag,INR,500,0.0,0.0,High,100.0,14.55,112.11,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach men sale,INR,500,0.0,0.0,High,100.0,78.73,256.74,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach purse store,INR,5000,0.0,-0.9,High,91.0,77.88,149.77,Moderate Visits,handbags_purses,High,0.001,0.91,-36.34,Low Opportunity
coach wallet set,INR,500,0.0,0.0,High,100.0,21.4,90.72,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach men's bags outlet,INR,5000,9.0,0.0,High,100.0,160.89,256.74,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach large handbags,INR,5000,0.0,0.0,High,100.0,26.53,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet white bag,INR,500,9.0,0.0,High,100.0,77.88,240.48,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet usa sale,INR,500,0.0,9.0,High,100.0,38.51,256.74,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach gray purse,INR,5000,0.0,0.0,High,100.0,26.53,117.25,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
baguette bag coach,INR,500,0.0,0.0,High,100.0,40.22,118.96,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet white crossbody,INR,50,0.0,-0.9,High,100.0,55.63,228.5,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
willow tote coach outlet,INR,50,0.0,0.0,Medium,40.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.4,-15.999400000000003,Low Opportunity
coach crossbody bag with coin purse,INR,50,0.0,0.0,High,68.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.68,-27.1994,Low Opportunity
coach outlet navy blue purse,INR,50,0.0,0.0,High,100.0,33.38,230.21,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
cheap coach wallets,INR,500,0.0,0.0,High,100.0,24.82,93.28,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
white coach crossbody bag,INR,500,0.0,0.0,High,100.0,21.4,116.39,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
men's coach backpack outlet,INR,50,0.0,0.0,High,89.0,99.27,256.74,Least Frequently Visited,backpacks,High,1e-05,0.89,-35.5994,Low Opportunity
coach usa bags,INR,500,0.0,9.0,High,100.0,31.67,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet wallets on sale,INR,500,0.0,0.0,High,100.0,35.94,192.56,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach bag cross body,INR,500,0.0,0.0,High,100.0,63.33,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach red purses,INR,50000,0.0,0.0,High,100.0,100.99,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach men's backpack sale,INR,500,0.0,0.0,High,88.0,100.99,231.07,Least Frequently Visited,backpacks,High,0.0001,0.88,-35.194,Low Opportunity
coach mini crossbody purse,INR,5000,0.0,0.0,High,100.0,61.62,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach women's backpacks on sale,INR,50,0.0,0.0,High,100.0,15.4,149.77,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach brown tote bag,INR,500,0.0,0.0,High,100.0,25.67,99.27,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach flap crossbody,INR,500,0.0,0.0,High,100.0,44.5,149.77,Least Frequently Visited,crossbody_bags,High,0.0001,1.0,-39.994,Low Opportunity
coach specials,INR,500,0.0,0.0,High,96.0,51.35,155.76,Least Frequently Visited,general_coach,High,0.0001,0.96,-38.394,Low Opportunity
coach oversized tote bag,INR,50,0.0,-0.9,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet website legit,INR,50,9.0,9.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
red coach wallet women's,INR,500,0.0,9.0,High,100.0,26.53,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach factory online,INR,50,0.0,0.0,High,71.0,114.68,256.74,Least Frequently Visited,general_coach,High,1e-05,0.71,-28.399399999999996,Low Opportunity
coach outlet green bag,INR,50,0.0,0.0,High,100.0,77.88,248.19,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet black friday sale,INR,500,0.0,9.0,Medium,65.0,,,Least Frequently Visited,general_coach,Medium,0.0001,0.65,-25.994,Low Opportunity
coach slim wallet women's,INR,500,0.0,9.0,High,100.0,19.61,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach mens pouch,INR,500,0.0,0.0,High,100.0,52.2,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
laptop bag coach outlet,INR,500,0.0,0.0,High,100.0,62.47,214.81,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet pink bag,INR,5000,9.0,9.0,High,100.0,57.34,240.48,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach black leather tote,INR,500,0.0,0.0,High,100.0,70.18,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet for mens,INR,500,0.0,0.0,Medium,44.0,,,Least Frequently Visited,general_coach,Medium,0.0001,0.44,-17.594,Low Opportunity
coach men's briefcase outlet,INR,50,0.0,0.0,High,100.0,57.34,256.74,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach black leather wallet,INR,500,0.0,0.0,High,100.0,61.62,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
men's crossbody bag coach,INR,5000,0.0,0.0,High,100.0,100.99,154.05,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach navy blue crossbody bag,INR,500,-0.9,-0.9,High,100.0,21.4,47.93,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
brown coach tote,INR,500,0.0,0.0,High,100.0,23.96,110.4,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
black tote bag coach,INR,5000,0.0,0.0,High,100.0,94.14,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet city tote,INR,500,0.0,0.0,High,100.0,105.26,256.74,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach round crossbody bag,INR,50,0.0,-0.9,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet jacket women's,INR,50,0.0,0.0,High,99.0,,,Least Frequently Visited,general_coach,High,1e-05,0.99,-39.5994,Low Opportunity
coach mens wallet leather,INR,500,-0.9,0.0,High,100.0,51.35,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet sale purses,INR,5000,0.0,0.0,High,100.0,35.26,240.48,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet leather backpack,INR,50,0.0,0.0,High,100.0,77.88,256.74,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach men's shoes sale,INR,500,0.0,0.0,High,100.0,43.65,256.74,Least Frequently Visited,shoes,High,0.0001,1.0,-39.994,Low Opportunity
coach mens tote,INR,500,0.0,0.0,High,100.0,33.38,130.94,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach crossbody outlet online,INR,50,0.0,0.0,Low,27.0,,,Least Frequently Visited,crossbody_bags,Low,1e-05,0.27,-10.7994,Low Opportunity
coach large crossbody bag,INR,500,0.0,0.0,High,100.0,22.25,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
outlet crossbody bags,INR,500,0.0,9.0,High,100.0,25.67,139.5,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach leather backpack purse,INR,500,0.0,0.0,High,100.0,35.94,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach men's computer bag,INR,500,-0.9,0.0,High,100.0,57.34,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach men long wallet,INR,500,0.0,0.0,High,100.0,34.23,92.43,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach signature backpack,INR,500,0.0,0.0,High,100.0,17.12,137.79,Least Frequently Visited,backpacks,High,0.0001,1.0,-39.994,Low Opportunity
yellow coach backpack,INR,50,0.0,-0.9,High,96.0,,,Least Frequently Visited,backpacks,High,1e-05,0.96,-38.3994,Low Opportunity
coach holiday sale,INR,50,0.0,0.0,Medium,49.0,,,Least Frequently Visited,general_coach,Medium,1e-05,0.49,-19.5994,Low Opportunity
coach black leather crossbody bag,INR,500,0.0,0.0,High,100.0,43.2,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
red and brown coach purse,INR,500,0.0,0.0,High,100.0,17.12,45.36,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach sling bag price,INR,50,0.0,0.0,Medium,53.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.53,-21.1994,Low Opportunity
outlet purse,INR,5000,0.0,0.0,High,100.0,29.1,152.33,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach small women's wallet,INR,500,0.0,0.0,High,100.0,41.08,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
emerald green coach bag,INR,500,0.0,0.0,High,100.0,13.32,29.95,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach black backpack purse,INR,500,9.0,0.0,High,100.0,31.67,116.39,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach website purses,INR,50,0.0,0.0,High,95.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.95,-37.9994,Low Opportunity
coach multicolor bag,INR,500,9.0,9.0,High,100.0,19.68,107.83,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet t shirt,INR,500,0.0,-0.9,High,100.0,136.93,207.11,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet wallets women's,INR,500,0.0,0.0,High,100.0,59.91,205.39,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach cross body wallet,INR,50,0.0,0.0,High,98.0,,,Least Frequently Visited,wallets,High,1e-05,0.98,-39.199400000000004,Low Opportunity
coach outlet ireland,INR,50,0.0,0.0,Medium,55.0,,,Least Frequently Visited,general_coach,Medium,1e-05,0.55,-21.9994,Low Opportunity
coach minimalist wallet,INR,50,0.0,0.0,High,100.0,22.25,109.54,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach jet set crossbody,INR,50,9.0,9.0,High,100.0,23.16,59.05,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
men's coach backpack sale,INR,500,0.0,0.0,High,88.0,100.99,231.07,Least Frequently Visited,backpacks,High,0.0001,0.88,-35.194,Low Opportunity
signature crossbody bag,INR,50,0.0,0.0,High,79.0,65.9,283.27,Least Frequently Visited,handbags_purses,High,1e-05,0.79,-31.599400000000006,Low Opportunity
coach outlet brown bag,INR,500,0.0,0.0,High,100.0,73.6,238.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach small wallet sale,INR,50,0.0,0.0,High,77.0,27.64,149.77,Least Frequently Visited,wallets,High,1e-05,0.77,-30.799400000000006,Low Opportunity
cute coach wallets,INR,500,0.0,0.0,High,100.0,51.35,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
pink and brown coach purse,INR,5000,0.0,0.0,High,100.0,11.13,57.41,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet backpack women's,INR,500,0.0,9.0,High,100.0,83.01,249.04,Least Frequently Visited,backpacks,High,0.0001,1.0,-39.994,Low Opportunity
show me coach purses,INR,500,0.0,0.0,High,85.0,12.84,149.77,Least Frequently Visited,handbags_purses,High,0.0001,0.85,-33.994,Low Opportunity
coach outlet floral purse,INR,50,0.0,-0.9,High,85.0,73.6,256.74,Least Frequently Visited,handbags_purses,High,1e-05,0.85,-33.9994,Low Opportunity
coach mens card wallet,INR,50,0.0,0.0,High,100.0,99.27,149.77,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach tote bag white,INR,5000,0.0,-0.9,High,100.0,23.96,130.08,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
green purse coach,INR,500,-0.9,-0.9,High,100.0,124.09,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach bifold wallet women's,INR,500,0.0,0.0,High,100.0,28.24,104.41,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach small purse wallet,INR,50,0.0,0.0,High,100.0,26.53,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
blue purse coach,INR,50000,0.0,9.0,High,100.0,88.15,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach orange wallet,INR,500,0.0,0.0,High,100.0,19.68,65.04,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach 75 off sale,INR,50,,0.0,Low,0.0,,,Least Frequently Visited,general_coach,,1e-05,0.0,0.0006000000000000001,Low Opportunity
coach female wallet,INR,50000,0.0,0.0,High,100.0,39.34,149.77,Moderate Visits,wallets,High,0.01,1.0,-39.4,Low Opportunity
coach back purse,INR,50,0.0,0.0,High,67.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.67,-26.799400000000002,Low Opportunity
crossbody bags for women coach,INR,500,0.0,0.0,High,100.0,62.47,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet coat womens,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach canvas backpack,INR,500,0.0,0.0,High,100.0,29.95,82.16,Least Frequently Visited,backpacks,High,0.0001,1.0,-39.994,Low Opportunity
coach tan crossbody bag,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach usa site,INR,500,0.0,0.0,High,100.0,149.77,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach multi pochette,INR,50,0.0,0.0,High,79.0,,,Least Frequently Visited,general_coach,High,1e-05,0.79,-31.599400000000006,Low Opportunity
coach cross,INR,500,0.0,0.0,High,100.0,88.15,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
men's coach shoulder bag,INR,5000,0.0,0.0,High,100.0,46.21,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
colorful coach bag,INR,5000,0.0,0.0,High,100.0,27.39,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
cheap coach crossbody bags,INR,50,0.0,0.0,High,91.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.91,-36.39940000000001,Low Opportunity
coach soft leather crossbody bag,INR,50,0.0,0.0,Medium,57.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.57,-22.7994,Low Opportunity
green bag coach,INR,50000,0.0,0.0,High,100.0,99.27,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
mini crossbody coach,INR,5000,0.0,0.0,High,100.0,70.88,149.77,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
orange coach crossbody,INR,500,0.0,0.0,High,100.0,,,Least Frequently Visited,crossbody_bags,High,0.0001,1.0,-39.994,Low Opportunity
women's coach sling bag,INR,500,0.0,0.0,High,100.0,47.93,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet clearance crossbody,INR,50,0.0,0.0,High,79.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.79,-31.599400000000006,Low Opportunity
coach outlet men's briefcase,INR,50,0.0,0.0,High,100.0,82.16,256.74,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach formal shoes,INR,50,0.0,0.0,High,100.0,27.39,149.77,Least Frequently Visited,shoes,High,1e-05,1.0,-39.9994,Low Opportunity
coach travel crossbody,INR,50,0.0,0.0,High,100.0,37.66,149.77,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
round coach purse,INR,500,0.0,0.0,High,95.0,,,Least Frequently Visited,handbags_purses,High,0.0001,0.95,-37.994,Low Opportunity
coach usa online shop,INR,50,0.0,0.0,Low,26.0,50.49,149.77,Least Frequently Visited,general_coach,Low,1e-05,0.26,-10.3994,Low Opportunity
coach leather bags on sale,INR,500,0.0,9.0,High,100.0,23.11,127.52,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet back pack,INR,50,,,Low,16.0,,,Least Frequently Visited,general_coach,Low,1e-05,0.16,-6.3994,Low Opportunity
shoes coach men's,INR,50000,0.0,0.0,High,100.0,77.88,149.77,Moderate Visits,shoes,High,0.01,1.0,-39.4,Low Opportunity
coach men's satchel bag,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet boston,INR,500,0.0,0.0,High,100.0,136.93,213.95,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach handbags men,INR,50000,0.0,0.0,High,100.0,73.6,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach crossbody satchel,INR,500,0.0,0.0,High,100.0,72.74,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
www coach com outlet handbags,INR,50,0.0,0.0,Medium,45.0,16.26,128.37,Least Frequently Visited,handbags_purses,Medium,1e-05,0.45,-17.9994,Low Opportunity
coach quilted crossbody bag,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
spring coach purses,INR,500,9.0,0.0,High,100.0,43.65,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach mens back pack,INR,50,0.0,0.0,High,100.0,92.43,149.77,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach bag black crossbody,INR,50,0.0,0.0,High,97.0,99.48,149.77,Least Frequently Visited,handbags_purses,High,1e-05,0.97,-38.7994,Low Opportunity
coach leather crossbody purse,INR,500,0.0,9.0,High,100.0,35.94,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach clearance crossbody,INR,500,9.0,9.0,High,100.0,31.67,205.39,Least Frequently Visited,crossbody_bags,High,0.0001,1.0,-39.994,Low Opportunity
coach crossbody women,INR,5000,0.0,0.0,High,100.0,55.63,149.77,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach small cross body,INR,50,0.0,0.0,High,100.0,83.01,149.77,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach office bags,INR,500,0.0,0.0,High,100.0,29.78,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet clearance shoes,INR,50,0.0,0.0,High,69.0,38.51,209.67,Least Frequently Visited,shoes,High,1e-05,0.69,-27.599399999999996,Low Opportunity
coach men's shoulder crossbody bag,INR,50,0.0,0.0,High,100.0,49.64,256.74,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach crossbody messenger bag women's,INR,50,0.0,0.0,High,67.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.67,-26.799400000000002,Low Opportunity
coach outlet shopping,INR,5000000,0.0,0.0,High,100.0,29.95,29.95,High User Searched,general_coach,High,1.0,1.0,19.999999999999996,Low Opportunity
coach mens cross body,INR,50,0.0,-0.9,High,100.0,109.06,149.77,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach mall,INR,500,0.0,0.0,High,99.0,129.23,149.77,Least Frequently Visited,general_coach,High,0.0001,0.99,-39.594,Low Opportunity
maroon coach purse,INR,5000,0.0,9.0,High,100.0,18.83,76.17,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet mini crossbody,INR,500,-0.9,-0.9,High,100.0,79.59,256.74,Least Frequently Visited,crossbody_bags,High,0.0001,1.0,-39.994,Low Opportunity
coach tote bag large,INR,5000,0.0,0.0,High,100.0,31.67,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach coach outlet,INR,5000000,0.0,0.0,High,100.0,29.95,29.95,High User Searched,general_coach,High,1.0,1.0,19.999999999999996,Low Opportunity
coach camera bag with thick strap,INR,50,0.0,0.0,High,100.0,15.4,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach signature crossbody,INR,500,0.0,0.0,High,100.0,23.96,149.77,Least Frequently Visited,crossbody_bags,High,0.0001,1.0,-39.994,Low Opportunity
outlet backpacks,INR,500,0.0,0.0,High,100.0,26.53,111.26,Least Frequently Visited,backpacks,High,0.0001,1.0,-39.994,Low Opportunity
coach spring bags,INR,500,9.0,0.0,High,100.0,43.65,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet women's backpacks,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach reserve bags,INR,5000,9.0,0.0,High,100.0,99.27,256.74,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet bolsos,INR,500,9.0,9.0,High,100.0,48.78,165.17,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet women's wallets,INR,500,0.0,0.0,High,100.0,70.18,230.21,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
boots coach outlet,INR,5000,-0.9,0.0,High,100.0,30.81,203.68,Moderate Visits,shoes,High,0.001,1.0,-39.940000000000005,Low Opportunity
yellow purse coach,INR,5000,9.0,0.0,High,100.0,21.4,94.14,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
pink tote bag coach,INR,500,0.0,0.0,High,100.0,23.96,77.88,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach navy blue wallet,INR,500,0.0,0.0,High,100.0,23.11,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach purse outlet near me,INR,500,0.0,0.0,High,100.0,59.05,229.36,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
white crossbody bag coach,INR,500,0.0,0.0,High,100.0,21.4,116.39,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
